protein,limma_pvalue,mu_hat,se_hat,residual_dof
P53004,0.43179791863710004,-0.1933408228622025,0.23614658414522097,28
B7ZAR1,0.09338070899372926,0.5048775519809047,0.29501937470329176,28
H3BSW7,0.7560265107622596,-0.0898195471489641,0.28848605838647146,28
Q9NY33,0.01960244620077128,0.5887073929819161,0.23257582556870376,28
P02533,0.28773696307299357,0.5709173300267276,0.5627214466790154,28
E9PGT6,0.12616109283116247,-0.305690472573243,0.17553834039544303,28
P41250,0.0024164763554195014,1.034331893817094,0.32148151540476716,28
P54577,0.1354239339506356,0.3130734044002174,0.18821007862249672,28
P12814,0.2898507112462542,-0.30738696281479105,0.287388906794918,28
Q9Y490,0.436626043449458,-0.12597472371587004,0.12711622993589858,28
P61158,0.3441455714202164,0.16144025009666305,0.13914186291063332,28
P00738,0.7216300516255525,-0.1729028332682393,0.5100691481451259,28
Q9NTK5,0.1712494817436021,0.24889329800479884,0.1528474147838171,28
Q5T6W5,0.962817675296322,-0.016189345459413015,0.3557835216491193,28
P43686,0.1705472722837748,0.29137858978201453,0.19259970676326665,28
O75828,0.24427090372780835,0.4220668313794837,0.3688247774093832,28
P15374,0.09669607751419182,0.4041304465893606,0.22813901991734856,28
Q99426,3.087320252033483e-4,-1.0152635020120413,0.24720763996653017,28
Q14195,0.14434080701723442,-0.43656209815330316,0.2947071374286187,28
F5H157,0.28197363018339106,0.25510668617198384,0.22426987962474723,28
P07437,0.06106050748523899,-0.45203391175265617,0.2241286882353833,28
P21964,0.004939847851170104,1.3250630789353584,0.4638622787765301,28
P55008,0.706867557611025,-0.103565853479337,0.27231647624997624,28
Q9Y2B0,0.4864029030181297,0.21381981161558275,0.3084768093645029,28
Q13561,0.303665872691984,-0.21525502355800785,0.19006249933752312,28
P68371,0.7181716073095734,-0.08286247821352732,0.21733500345969106,28
Q04760,0.8275464713904042,-0.06104275759355354,0.2782125966838199,28
Q15404,0.7098697419155308,-0.08746163926905062,0.22405514490743755,28
H9KV75,0.7117522180476642,0.13007246757451257,0.36077160682743536,28
A0MZ66,0.6297733879362932,0.2090530562052706,0.4522837733141098,28
P28161,0.0598924854254879,-0.8424474367732465,0.4553934261579798,28
P30043,0.030741478407646895,-0.6103123547985897,0.26925502071630564,28
Q01995,0.5199494370333836,-0.24326022286497107,0.3893643459499473,28
P01857,0.8338996635380052,0.09066547941429745,0.45149861781287126,28
K7ER96,0.683328056002175,-0.07748312459036683,0.1668346374413202,28
P13010,0.30304921161696935,0.2274784939271176,0.2045779418667691,28
Q13263,0.8290225392267546,-0.050814623228774794,0.22451219280268622,28
K7ELP0,0.9098214169487319,-0.05542132491256502,0.5149879918178729,28
P61923,0.01950612730897806,0.6195602559040502,0.24759665243615367,28
Q15276,0.005041460840511742,-0.8406998938161636,0.280421273033704,28
F8W1A4,0.29698594205093665,-0.39103008513947723,0.38365887692742223,28
P46439,0.01105597403215435,-0.7402849510005727,0.27469865757743234,28
Q99832,0.1933137030223507,0.44773946229231176,0.34721491856175823,28
P16152,0.47893448698336905,-0.21282974593853554,0.30081170854658,28
Q9Y5S9,0.7131673501614036,-0.09474282838767772,0.2513909531048561,28
Q8WUM4,0.27210154044991774,-0.31656881663322806,0.28466230517815716,28
Q9NX24,0.7229501566301155,-0.09203770728788709,0.25366050123764755,28
Q9NUQ9,0.09344977750547553,-0.4018803511994402,0.22357252927385143,28
Q9HB71,0.35680022785780385,0.2598068142262085,0.27823110065496864,28
